id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,zipcode,geometry
3362,"Convention Center Rowhouse & In Law: 2 Units, 4BR",2798,Ayeh,,"Shaw, Logan Circle",38.90982,-77.02016,Entire home/apt,433,2,177,2020-02-02,1.31,5,138,20001,POINT (-77.02016 38.90982)
3663,Classic Rowhouse: Porch+ART+Parking,4617,Shawn & Richard,,"Brightwood Park, Crestwood, Petworth",38.95888,-77.02554,Entire home/apt,154,3,41,2018-05-21,0.36,1,26,20011,POINT (-77.02554000000001 38.95888)
3670,Beautiful Sun-Lit U Street 1BR/1BA,4630,Sheila,,"Howard University, Le Droit Park, Cardozo/Shaw",38.918420000000005,-77.0275,Private room,75,2,79,2018-07-25,1.31,1,0,20009,POINT (-77.0275 38.91842)
3686,Vita's Hideaway,4645,Vita,,Historic Anacostia,38.86314,-76.98836,Private room,55,2,71,2019-08-05,0.63,2,181,20020,POINT (-76.98836 38.86314)
3771,Mt. Pleasant,4795,Charlene,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.9276,-77.03926,Private room,88,1,1,2009-01-21,0.01,1,0,20010,POINT (-77.03926 38.9276)
4002,2 Bedroom Private Condo Suite (Basement Apt),5143,Anthony,,"North Michigan Park, Michigan Park, University Heights",38.94008,-76.98935999999999,Entire home/apt,120,2,149,2018-11-13,1.1,1,156,20017,POINT (-76.98935999999999 38.94008)
4197,Bedroom in DC 2 blocks to Metro,5061,Sandra,,"Capitol Hill, Lincoln Park",38.88791,-76.99668,Private room,83,7,44,2020-01-25,0.34,2,225,20003,POINT (-76.99668 38.88791)
4501,DC Rowhouse,1585,Kip,,"Shaw, Logan Circle",38.913309999999996,-77.02436,Private room,475,2,120,2015-07-16,0.89,1,0,20001,POINT (-77.02436 38.91331)
4529,Bertina's  House Part One,5803,Bertina'S House,,"Eastland Gardens, Kenilworth",38.90645,-76.94305,Private room,52,30,102,2019-07-05,0.79,2,179,20019,POINT (-76.94305 38.90645)
4967,"DC, Near Metro",7086,Seveer,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.91263,-76.99221,Private room,99,2,31,2016-09-22,0.27,3,365,20002,POINT (-76.99221 38.91263)
5589,Cozy apt in Adams Morgan,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91933,-77.04124,Entire home/apt,118,3,94,2020-01-25,0.74,2,71,20009,POINT (-77.04124 38.91933)
7103,"Best of Washington - Great neighborhood, parking",17633,Charlotte (& Anna-Regina),,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91988,-77.09796,Entire home/apt,99,3,190,2020-02-17,1.59,54,0,20007,POINT (-77.09796 38.91988)
9097,Adams Morgan Charm,6527,Ami,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91966,-77.04306,Private room,42,1,112,2019-10-30,0.89,2,8,20009,POINT (-77.04306 38.91966)
9641,Sophisticated Logan Circle Loft,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.91146,-77.03636,Entire home/apt,195,2,152,2020-01-05,1.26,2,64,20036,POINT (-77.03636 38.91146)
11785,Sanctuary near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92828,-77.07638,Entire home/apt,125,1,386,2020-02-16,3.13,4,348,20007,POINT (-77.07638 38.92828)
12442,Peaches & Cream near Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.927440000000004,-77.07496,Private room,69,1,92,2020-01-08,0.76,4,316,20007,POINT (-77.07496 38.92744)
13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,Victoria,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03135999999999,Entire home/apt,125,2,24,2019-11-16,0.2,1,302,20010,POINT (-77.03135999999999 38.92836)
13824,Natural Setting in DC,54317,Chris & Erin,,"Brightwood Park, Crestwood, Petworth",38.95845,-77.03764,Entire home/apt,100,2,167,2020-02-08,1.34,1,267,20011,POINT (-77.03764 38.95845)
14218,Quiet Comfort near Nat'l Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.927,-77.07645,Private room,69,1,109,2019-12-09,1.02,4,364,20007,POINT (-77.07644999999999 38.927)
14570,Downtown Spacious Bedroom & Private Bath,56646,Serge,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.904270000000004,-77.02656,Private room,85,3,554,2019-08-21,4.53,1,0,20005,POINT (-77.02656 38.90427)
16684,Capitol Hill Guest Suite,64814,Matt+Jean,,"Union Station, Stanton Park, Kingman Park",38.89866,-77.00179,Entire home/apt,93,30,170,2019-12-19,1.38,3,126,20260,POINT (-77.00179 38.89866)
17131,The Loft near National Cathedral,32015,Teresa,,"Cathedral Heights, McLean Gardens, Glover Park",38.92708,-77.0768,Private room,69,1,81,2019-06-28,0.67,4,314,20007,POINT (-77.07680000000001 38.92708)
20067,Embassy Row /Glover Park,75938,Marie,,"Cathedral Heights, McLean Gardens, Glover Park",38.924659999999996,-77.06834,Private room,75,3,113,2020-02-01,0.94,1,49,20008,POINT (-77.06834000000001 38.92466)
22453,Elegant Logan Circle Loft Share,32067,Melissa,,"Dupont Circle, Connecticut Avenue/K Street",38.90933,-77.03484,Shared room,90,2,95,2020-01-18,0.79,2,80,20005,POINT (-77.03484 38.90933)
24720,"Adam's Eden,Fabulous Location, Free 2 Cars Parkg",100761,Adam,,"Brightwood Park, Crestwood, Petworth",38.95471,-77.02136999999999,Entire home/apt,215,2,4,2020-02-10,0.05,1,90,20011,POINT (-77.02136999999999 38.95471)
25243,The Smithsonian Vacation House,104340,Wavely,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88107,-77.01890999999999,Entire home/apt,379,1,24,2020-02-16,0.38,2,313,20024,POINT (-77.01890999999999 38.88107)
25366,Convention Center Rowhouse on P ST NW (3BR/2.5BA),2798,Ayeh,,"Shaw, Logan Circle",38.906890000000004,-77.02509,Entire home/apt,433,2,139,2020-01-20,1.21,5,233,20001,POINT (-77.02509000000001 38.90689)
26147,Beautiful Cozy Full  Bed Room,5782,Val,,"Brightwood Park, Crestwood, Petworth",38.95313,-77.03583,Private room,40,28,9,2018-08-20,0.08,1,365,20011,POINT (-77.03583 38.95313)
27281,Capitol Hill H Street 1BR Apt :),117099,Stephen,,"Union Station, Stanton Park, Kingman Park",38.90254,-76.99257,Entire home/apt,645,3,15,2016-07-14,0.13,1,364,20002,POINT (-76.99257 38.90254)
32087,American Guest House - Room 301,138459,L,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,Private room,179,1,14,2019-09-19,0.14,12,327,20009,POINT (-77.04598 38.91766)
32584,Downtown DC Private Carriage House,29711,The Remuzzi Brothers,,"Shaw, Logan Circle",38.911390000000004,-77.0208,Entire home/apt,129,2,592,2020-01-25,5.02,2,343,20001,POINT (-77.02079999999999 38.91139)
52092,People's Place 2- Convention Center,50148,Adreinne,,"Shaw, Logan Circle",38.90879,-77.02403000000001,Entire home/apt,130,4,184,2020-01-27,1.61,3,23,20001,POINT (-77.02403000000001 38.90879)
54112,"Luxury DC Apt. Downtown, Logan Circle, 14th Street",253258,Daryl,,"Dupont Circle, Connecticut Avenue/K Street",38.91168,-77.03501,Entire home/apt,195,3,153,2019-11-28,1.35,1,354,20036,POINT (-77.03501 38.91168)
57340,Lovely bedroom near U.S. Capitol & Union Station,272903,Channapha,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.905190000000005,-76.98855,Private room,73,2,40,2018-10-28,1.26,1,0,20002,POINT (-76.98855 38.90519)
62119,Deep in the Woods in Adams Morgan,301975,Sarah (And JT),,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92114,-77.0487,Private room,63,3,266,2020-01-18,2.37,2,288,20009,POINT (-77.0487 38.92114)
62122,"STUDIO SUITE IN THE TREE TOPS:ADAMS MORGAN,WOODLEY",301975,Sarah (And JT),,"Kalorama Heights, Adams Morgan, Lanier Heights",38.921659999999996,-77.04876999999999,Private room,90,3,101,2019-07-29,1.11,2,235,20009,POINT (-77.04876999999999 38.92166)
65024,"Nice looking large room on Rhodeisland avenue, nw",315148,John,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.9165,-77.01028000000001,Private room,35,28,6,2020-01-05,0.17,25,195,20001,POINT (-77.01028000000001 38.9165)
67483,Charming B & B in Columbia Heights,332901,Chris And Shawanda,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93375,-77.02924,Entire home/apt,99,6,155,2019-12-15,1.41,1,339,20010,POINT (-77.02924 38.93375)
72454,Modern Charm,100727,Capital Vacation,,"Brightwood Park, Crestwood, Petworth",38.94684,-77.02294,Entire home/apt,221,4,157,2020-02-02,1.44,3,274,20011,POINT (-77.02294000000001 38.94684)
78264,Room for 2 with private bathroom,420345,Caterina & Francesco,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.915729999999996,-77.00721,Private room,62,1,35,2019-09-28,0.38,1,204,20001,POINT (-77.00721 38.91573)
79866,"DC, Near Metro III",7086,Seveer,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.904759999999996,-76.98491999999999,Private room,99,2,10,2016-08-27,0.09,3,365,20002,POINT (-76.98491999999999 38.90476)
79867,"DC, Near Metro II",7086,Seveer,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90467,-76.98626999999999,Private room,99,2,10,2016-09-30,0.1,3,365,20002,POINT (-76.98626999999999 38.90467)
93551,Upscale Master Close to Everything,481929,Chris,,"Shaw, Logan Circle",38.91235,-77.01873,Private room,87,3,101,2019-09-25,0.94,4,365,20001,POINT (-77.01873000000001 38.91235)
105273,New&Cozy1BR/Central/Great features,528963,Marwa,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92105,-77.03772,Entire home/apt,75,180,8,2013-07-25,0.09,1,365,20009,POINT (-77.03771999999999 38.92105)
107801,Heart of D.C. near Union Station!!,445901,DeeDee,,"Union Station, Stanton Park, Kingman Park",38.89768,-76.97113,Entire home/apt,140,2,13,2017-08-09,0.2,1,0,20002,POINT (-76.97113 38.89768)
116289,"Unique Takoma DC Townhouse, 3 min walk to Metro",587419,Sharyn,,"Takoma, Brightwood, Manor Park",38.97267,-77.01821,Entire home/apt,118,7,3,2019-07-01,0.03,1,108,20012,POINT (-77.01821 38.97267)
116951,Upscale Private Close to Everything,481929,Chris,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91703,-77.01671999999999,Private room,75,10,150,2019-11-06,1.42,4,365,20001,POINT (-77.01671999999999 38.91703)
124030,Modern Townhouse with Large Backyard!,614408,Adam,,"Shaw, Logan Circle",38.91409,-77.02484,Entire home/apt,150,2,7,2019-04-08,0.1,1,0,20001,POINT (-77.02484 38.91409)
145726,Luraloft / Entire Apt,705346,Sakhi,,"Brightwood Park, Crestwood, Petworth",38.94934,-77.02295,Entire home/apt,85,5,103,2019-10-26,0.98,1,333,20011,POINT (-77.02294999999999 38.94934)
150109,Great apartment in perfect location,723470,Steffanie,,"Dupont Circle, Connecticut Avenue/K Street",38.915,-77.03853000000001,Entire home/apt,135,3,29,2019-10-13,0.29,1,77,20009,POINT (-77.03853000000001 38.915)
153545,Guest Room 3 miles to  White House,738459,Natasha,,"Brightwood Park, Crestwood, Petworth",38.94437,-77.04345,Private room,49,30,35,2016-12-20,0.34,5,282,20010,POINT (-77.04345000000001 38.94437)
160148,"Dupont room; TemPurpedic bed, 3 min 2 metro",767543,Dana,,"Dupont Circle, Connecticut Avenue/K Street",38.91297,-77.0465,Private room,309,30,2,2015-05-20,0.02,4,365,20036,POINT (-77.04649999999999 38.91297)
160597,"Charming, great location, parking",49583,Elizabeth,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.9232,-77.10166,Private room,80,3,18,2018-03-29,0.19,2,0,20007,POINT (-77.10166 38.9232)
161913,X-tra large suite;3 min Wlk 2 Metro,767543,Dana,,"Dupont Circle, Connecticut Avenue/K Street",38.91296,-77.04639,Private room,99,30,10,2019-07-12,0.43,4,0,20036,POINT (-77.04639 38.91296)
174808,Historic American Four Square,835242,Jeffrey,,Historic Anacostia,38.86427,-76.98934,Private room,75,2,38,2019-11-24,0.81,3,177,20003,POINT (-76.98934 38.86427)
175581,Entire 1BR Capitol Hill Apartment!,839218,Molly,,"Capitol Hill, Lincoln Park",38.87859,-76.98519,Entire home/apt,130,4,124,2019-08-24,1.2,1,80,20003,POINT (-76.98519 38.87859)
175608,People's Place  - Convention Center,50148,Adreinne,,"Shaw, Logan Circle",38.90831,-77.02364,Entire home/apt,110,4,182,2020-01-18,1.78,3,36,20001,POINT (-77.02364 38.90831)
178395,"Spare Room for Washington,DC Visit or entire house",852801,Allison,,"Takoma, Brightwood, Manor Park",38.962340000000005,-77.01735,Private room,64,1,0,,,2,365,20011,POINT (-77.01734999999999 38.96234)
181078,Beautiful Condo in Adams Morgan,867791,Vadim,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92009,-77.04137,Entire home/apt,250,4,82,2019-12-29,0.81,1,335,20009,POINT (-77.04137 38.92009)
181455,Sweet English Studio CLEAN/AU/Walk to Metro,667695,Robin,,"Friendship Heights, American University Park, Tenleytown",38.95173,-77.08628,Entire home/apt,80,2,42,2020-01-10,0.61,1,329,20016,POINT (-77.08628 38.95173)
184144,"Dupont Circle, Stunning Apt",883385,Pierre,,"Dupont Circle, Connecticut Avenue/K Street",38.913140000000006,-77.04431,Entire home/apt,100,120,7,2016-03-17,0.07,1,358,20036,POINT (-77.04431 38.91314000000001)
189961,Private room in Washington D.C.,916824,Kim & Gregg,,"Capitol View, Marshall Heights, Benning Heights",38.883590000000005,-76.92951,Private room,59,1,0,,,1,0,20019,POINT (-76.92950999999999 38.88359000000001)
195344,New Luxury Downtown Private Apt.,949856,Nat,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90123,-77.01751999999999,Entire home/apt,149,2,383,2020-02-03,3.71,1,215,20260,POINT (-77.01751999999999 38.90123)
196429,"Takoma Garden apt-Lush yard,pets ok",956417,Julia,,"Takoma, Brightwood, Manor Park",38.96995,-77.01984,Entire home/apt,99,2,5,2019-10-25,0.06,1,364,20012,POINT (-77.01984 38.96995)
198761,Smack In The Middle of DC,970466,Beulah,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.909620000000004,-77.01017,Private room,50,3,37,2019-11-23,0.36,1,117,20001,POINT (-77.01017 38.90962)
201116,Victorian Haven - Private Basement!,983611,Reed,,"Takoma, Brightwood, Manor Park",38.97291,-77.02063000000001,Entire home/apt,90,1,162,2020-01-20,1.58,1,280,20012,POINT (-77.02063000000001 38.97291)
